state,city,pollutant,value,year,month,day
Alaska,Fairbanks,NO2,5.0,2014,10,278
Alaska,Fairbanks,O3,0.022000000000000002,2014,10,278
Alaska,Fairbanks,SO2,2.8,2014,10,278
Alaska,Fairbanks,CO,0.355,2014,10,279
Alaska,Fairbanks,NO2,14.3,2014,10,279
Alaska,Fairbanks,O3,0.021,2014,10,279
Alaska,Fairbanks,SO2,4.15,2014,10,279
Alaska,Fairbanks,CO,0.42,2014,10,280
Alaska,Fairbanks,NO2,19.2,2014,10,280
Alaska,Fairbanks,O3,0.012,2014,10,280
Alaska,Fairbanks,SO2,7.6,2014,10,280
Alaska,Fairbanks,CO,0.55,2014,10,281
Alaska,Fairbanks,NO2,16.1,2014,10,281
Alaska,Fairbanks,O3,0.017,2014,10,281
Alaska,Fairbanks,SO2,7.0,2014,10,281
Alaska,Fairbanks,CO,0.4,2014,10,282
Alaska,Fairbanks,NO2,15.3,2014,10,282
Alaska,Fairbanks,O3,0.023,2014,10,282
Alaska,Fairbanks,SO2,4.7,2014,10,282
Alaska,Fairbanks,CO,0.49,2014,10,283
Alaska,Fairbanks,NO2,19.8,2014,10,283
Alaska,Fairbanks,O3,0.023,2014,10,283
Alaska,Fairbanks,SO2,5.05,2014,10,283
Alaska,Fairbanks,CO,0.6499999999999999,2014,10,284
Alaska,Fairbanks,NO2,20.2,2014,10,284
Alaska,Fairbanks,O3,0.013999999999999999,2014,10,284
Alaska,Fairbanks,SO2,7.05,2014,10,284
Alaska,Fairbanks,CO,0.63,2014,10,285
Alaska,Fairbanks,NO2,13.5,2014,10,285
Alaska,Fairbanks,O3,0.01,2014,10,285
Alaska,Fairbanks,SO2,6.1,2014,10,285
Alaska,Fairbanks,CO,0.53,2014,10,286
Alaska,Fairbanks,NO2,13.1,2014,10,286
Alaska,Fairbanks,O3,0.005,2014,10,286
Alaska,Fairbanks,SO2,6.9,2014,10,286
Alaska,Fairbanks,CO,0.615,2014,10,287
Alaska,Fairbanks,NO2,22.0,2014,10,287
Alaska,Fairbanks,O3,0.016,2014,10,287
Alaska,Fairbanks,SO2,5.5,2014,10,287
Alaska,Fairbanks,CO,0.8,2014,10,288
Alaska,Fairbanks,NO2,23.1,2014,10,288
Alaska,Fairbanks,O3,0.013999999999999999,2014,10,288
Alaska,Fairbanks,SO2,8.9,2014,10,288
Alaska,Fairbanks,CO,0.395,2014,10,289
Alaska,Fairbanks,NO2,20.3,2014,10,289
Alaska,Fairbanks,O3,0.012,2014,10,289
Alaska,Fairbanks,SO2,8.45,2014,10,289
Alaska,Fairbanks,CO,0.385,2014,10,293
Alaska,Fairbanks,NO2,22.2,2014,10,293
Alaska,Fairbanks,O3,0.015,2014,10,293
Alaska,Fairbanks,SO2,7.699999999999998,2014,10,293
Alaska,Fairbanks,CO,0.725,2014,10,294
Alaska,Fairbanks,NO2,20.9,2014,10,294
Alaska,Fairbanks,O3,0.009000000000000001,2014,10,294
Alaska,Fairbanks,SO2,10.6,2014,10,294
Alaska,Fairbanks,CO,0.61,2014,10,295
Alaska,Fairbanks,NO2,26.3,2014,10,295
Alaska,Fairbanks,O3,0.011000000000000001,2014,10,295
Alaska,Fairbanks,SO2,9.2,2014,10,295
Alaska,Fairbanks,CO,0.61,2014,10,296
Alaska,Fairbanks,NO2,21.7,2014,10,296
Alaska,Fairbanks,O3,0.012,2014,10,296
Alaska,Fairbanks,SO2,6.65,2014,10,296
Alaska,Fairbanks,CO,0.5700000000000001,2014,10,297
Alaska,Fairbanks,NO2,19.5,2014,10,297
Alaska,Fairbanks,O3,0.013999999999999999,2014,10,297
Alaska,Fairbanks,SO2,6.2,2014,10,297
Alaska,Fairbanks,CO,0.48,2014,10,298
Alaska,Fairbanks,NO2,16.6,2014,10,298
Alaska,Fairbanks,O3,0.019,2014,10,298
Alaska,Fairbanks,SO2,4.0,2014,10,298
